Fl_insurance ,,,,,,,,,,,,,,
,,,EA,HU,FL,FR,2011,2012,EQ,HU,FL,FR,LATI,LONGI
policyID,statecode,county,eq_site_limit,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2011,tiv_2012,eq_site_deductible,hu_site_deductible,fl_site_deductible,fr_site_deductible,point_latitude,point_longitude
119736,FL,CLAY COUNTY,498960,498960,498960,498960,498960,792148.9,0,9979.2,0,0,30.102261,-81.711777
448094,FL,CLAY COUNTY,1322376.3,1322376.3,1322376.3,1322376.3,1322376.3,1438163.57,0,0,0,0,30.063936,-81.707664
206893,FL,CLAY COUNTY,190724.4,190724.4,190724.4,190724.4,190724.4,192476.78,0,0,0,0,30.089579,-81.700455
333743,FL,CLAY COUNTY,0,79520.76,0,0,79520.76,86854.48,0,0,0,0,30.063236,-81.707703
172534,FL,CLAY COUNTY,0,254281.5,0,254281.5,254281.5,246144.49,0,0,0,0,30.060614,-81.702675
785275,FL,CLAY COUNTY,0,515035.62,0,0,515035.62,884419.17,0,0,0,0,30.063236,-81.707703
995932,FL,CLAY COUNTY,0,19260000,0,0,19260000,20610000,0,0,0,0,30.102226,-81.713882
223488,FL,CLAY COUNTY,328500,328500,328500,328500,328500,348374.25,0,16425,0,0,30.102217,-81.707146
433512,FL,CLAY COUNTY,315000,315000,315000,315000,315000,265821.57,0,15750,0,0,30.118774,-81.704613
142071,FL,CLAY COUNTY,705600,705600,705600,705600,705600,1010842.56,14112,35280,0,0,30.100628,-81.703751
253816,FL,CLAY COUNTY,831498.3,831498.3,831498.3,831498.3,831498.3,1117791.48,0,0,0,0,30.10216,-81.719444
894922,FL,CLAY COUNTY,0,24059.09,0,0,24059.09,33952.19,0,0,0,0,30.095957,-81.695099
422834,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,66755.39,0,0,0,0,30.100073,-81.739822
582721,FL,CLAY COUNTY,0,28869.12,0,0,28869.12,42826.99,0,0,0,0,30.09248,-81.725167
842700,FL,CLAY COUNTY,0,56135.64,0,0,56135.64,50656.8,0,0,0,0,30.101356,-81.726248
874333,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,67905.07,0,0,0,0,30.113743,-81.727463
580146,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,66938.9,0,0,0,0,30.121655,-81.732391
456149,FL,CLAY COUNTY,0,80192.49,0,0,80192.49,86421.04,0,0,0,0,30.109537,-81.741661
767862,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,73798.5,0,0,0,0,30.11824,-81.745335
353022,FL,CLAY COUNTY,0,60946.79,0,0,60946.79,62467.29,0,0,0,0,30.065799,-81.717416
367814,FL,CLAY COUNTY,0,28869.12,0,0,28869.12,42727.74,0,0,0,0,30.082993,-81.710581
671392,FL,CLAY COUNTY,0,13410000,0,0,13410000,11700000,0,0,0,0,30.091921,-81.711929
772887,FL,CLAY COUNTY,0,1669113.93,0,0,1669113.93,2099127.76,0,0,0,0,30.117352,-81.711884
983122,FL,CLAY COUNTY,0,179562.23,0,0,179562.23,211372.57,0,0,0,0,30.095783,-81.713181
934215,FL,CLAY COUNTY,0,177744.16,0,0,177744.16,157171.16,0,0,0,0,30.110518,-81.727478
385951,FL,CLAY COUNTY,0,17757.58,0,0,17757.58,16948.72,0,0,0,0,30.10288,-81.705719
716332,FL,CLAY COUNTY,0,130129.87,0,0,130129.87,101758.43,0,0,0,0,30.068468,-81.71624
751262,FL,CLAY COUNTY,0,42854.77,0,0,42854.77,63592.88,0,0,0,0,30.068468,-81.71624
633663,FL,CLAY COUNTY,0,785.58,0,0,785.58,662.18,0,0,0,0,30.068468,-81.71624
105851,FL,CLAY COUNTY,0,170361.91,0,0,170361.91,177176.38,0,0,0,0,30.068468,-81.71624
710400,FL,CLAY COUNTY,0,1430.89,0,0,1430.89,1861.41,0,0,0,0,30.068468,-81.71624
703001,FL,CLAY COUNTY,0,129913.27,0,0,129913.27,101692.86,0,0,0,0,30.079785,-81.706865
352792,FL,CLAY COUNTY,0,366285.62,0,0,366285.62,507164.19,0,0,0,0,30.08012,-81.718452
717603,FL,CLAY COUNTY,0,22512.61,0,0,22512.61,28637.17,0,0,0,0,30.08012,-81.718452
937659,FL,SUWANNEE COUNTY,0,9246.6,0,9246.6,9246.6,10880.22,0,0,0,0,29.959805,-82.926659
294022,FL,SUWANNEE COUNTY,0,96164.64,0,0,96164.64,69357.78,0,0,0,0,29.959805,-82.926659
410500,FL,SUWANNEE COUNTY,0,11095.92,0,0,11095.92,12737.89,0,0,0,0,29.959805,-82.926659
524433,FL,SUWANNEE COUNTY,218475,218475,218475,218475,218475,199030.29,0,4369.5,0,0,29.962601,-82.926155
779298,FL,SUWANNEE COUNTY,1400904,1400904,1400904,1400904,1400904,1772984.1,0,0,0,0,29.962601,-82.926155
491831,FL,SUWANNEE COUNTY,4365,4365,4365,4365,4365,4438.05,0,87.3,0,0,29.962601,-82.926155
814637,FL,SUWANNEE COUNTY,4365,4365,4365,4365,4365,6095.72,0,87.3,0,0,29.962601,-82.926155
737515,FL,SUWANNEE COUNTY,39789,39789,39789,39789,39789,58106.58,0,0,0,0,29.962601,-82.926155
222653,FL,SUWANNEE COUNTY,24867,24867,24867,24867,24867,18969.79,0,0,0,0,29.962601,-82.926155
788543,FL,SUWANNEE COUNTY,213876,213876,213876,213876,213876,261435.18,0,0,0,0,29.962601,-82.926155
691681,FL,SUWANNEE COUNTY,69435,69435,69435,69435,69435,93674.34,0,1388.7,0,0,29.960735,-82.92542
368807,FL,SUWANNEE COUNTY,14922,14922,14922,14922,14922,12333.03,0,0,0,0,29.960735,-82.92542
174002,FL,SUWANNEE COUNTY,165546,165546,165546,165546,165546,239134.51,0,0,0,0,29.963396,-82.916763
198760,FL,SUWANNEE COUNTY,72837,72837,72837,72837,72837,86637.86,0,0,0,0,29.963396,-82.916763
831395,FL,SUWANNEE COUNTY,72837,72837,72837,72837,72837,98147.86,0,0,0,0,29.963396,-82.916763
305698,FL,SUWANNEE COUNTY,19440,19440,19440,19440,19440,30658.59,0,388.8,0,0,29.963396,-82.916763
515722,FL,SUWANNEE COUNTY,9945,9945,9945,9945,9945,11551.12,0,198.9,0,0,29.963396,-82.916763
415582,FL,SUWANNEE COUNTY,0,255878.61,0,0,255878.61,345894.66,0,0,0,0,29.958415,-82.92394
783533,FL,SUWANNEE COUNTY,0,153527.17,0,0,153527.17,138228.8,0,0,0,0,29.9696,-82.92767
640802,FL,SUWANNEE COUNTY,0,255878.61,0,0,255878.61,177339.74,0,0,0,0,29.959404,-82.927582
403866,FL,SUWANNEE COUNTY,0,102351.45,0,0,102351.45,95132.8,0,0,0,0,29.958904,-82.922729
828788,FL,SUWANNEE COUNTY,0,155489.66,0,0,155489.66,145139.65,0,0,0,0,29.95822,-82.922424
751490,FL,SUWANNEE COUNTY,0,137233.8,0,0,137233.8,114919.58,0,0,0,0,29.965832,-82.933777
972562,FL,SUWANNEE COUNTY,0,123596.05,0,0,123596.05,183015.09,0,0,0,0,29.965721,-82.933777
367541,FL,SUWANNEE COUNTY,0,107111.11,0,0,107111.11,88218.85,0,0,0,0,29.965717,-82.933777
481360,FL,SUWANNEE COUNTY,0,96309.32,0,0,96309.32,85911,0,0,0,0,29.95775,-82.923635
920232,FL,NASSAU COUNTY,0,104031.7,0,0,104031.7,168443.97,0,0,0,0,30.39431,-81.93397
727659,FL,NASSAU COUNTY,338944.5,338944.5,338944.5,338944.5,338944.5,485816.61,0,0,0,0,30.56267,-81.830429
471817,FL,NASSAU COUNTY,272349,272349,272349,272349,272349,414565.56,0,0,0,0,30.56267,-81.830429
983043,FL,NASSAU COUNTY,129690,129690,129690,129690,129690,129635.53,0,0,0,0,30.561651,-81.830193
578286,FL,NASSAU COUNTY,123210,123210,123210,123210,123210,120345.61,0,0,0,0,30.56267,-81.830429
347276,FL,NASSAU COUNTY,0,3698.64,0,0,3698.64,3939.13,0,0,0,0,30.56106,-81.82632
477786,FL,NASSAU COUNTY,2115760.5,2115760.5,0,0,2115760.5,3057739.39,0,0,0,0,30.5579,-81.8249
265907,FL,NASSAU COUNTY,0,93548.58,0,0,93548.58,118401.07,0,0,0,0,30.56106,-81.82632
107560,FL,NASSAU COUNTY,0,1037311.14,0,0,1037311.14,1487255.23,0,0,0,0,30.56106,-81.82632
908183,FL,NASSAU COUNTY,0,15463.3,0,0,15463.3,11825.56,0,0,0,0,30.57185,-81.82383
356024,FL,NASSAU COUNTY,0,13893.35,0,0,13893.35,13988.5,0,0,0,0,30.562835,-81.826525
575299,FL,NASSAU COUNTY,0,316618.23,0,0,316618.23,230328.99,0,0,0,0,30.567566,-81.826584
790478,FL,NASSAU COUNTY,0,54834.66,0,0,54834.66,63053.72,0,0,0,0,30.60895,-81.83645
801776,FL,NASSAU COUNTY,0,295269.11,0,0,295269.11,488965.65,0,0,0,0,30.59925,-81.81973
291781,FL,NASSAU COUNTY,0,723734.17,0,0,723734.17,955908.09,0,0,0,0,30.53674,-81.77496
537286,FL,NASSAU COUNTY,0,1741572,0,1741572,1741572,1455184.42,0,0,0,0,30.555161,-81.825684
289305,FL,COLUMBIA COUNTY,135450,135450,135450,135450,135450,164978.1,0,0,0,0,30.105968,-82.66227
697409,FL,COLUMBIA COUNTY,60300,60300,60300,60300,60300,77678.46,0,0,0,0,30.1018,-82.7094
633944,FL,COLUMBIA COUNTY,22500,22500,22500,22500,22500,19501.76,0,0,0,0,30.1018,-82.7094
963511,FL,COLUMBIA COUNTY,0,34212.42,0,0,34212.42,33250.37,0,0,0,0,30.1018,-82.7094
729649,FL,COLUMBIA COUNTY,0,460128.2,0,0,460128.2,626142.46,0,0,0,0,30.1653,-82.73404
862584,FL,COLUMBIA COUNTY,0,32169.69,0,0,32169.69,37291.11,0,0,0,0,30.1018,-82.7094
371891,FL,COLUMBIA COUNTY,0,50550.75,0,0,50550.75,49526.38,0,0,0,0,30.17399,-82.57017
785595,FL,COLUMBIA COUNTY,42300,42300,42300,42300,42300,53762.62,0,0,0,0,30.1515,-82.6126
567696,FL,COLUMBIA COUNTY,0,10171.26,0,0,10171.26,16798.29,0,0,0,0,30.16269,-82.64
219025,FL,COLUMBIA COUNTY,0,155342.88,0,0,155342.88,176189.89,0,0,0,0,30.16269,-82.64
447216,FL,COLUMBIA COUNTY,0,3698.64,0,0,3698.64,4424.48,0,0,0,0,30.16269,-82.64
305141,FL,COLUMBIA COUNTY,0,4623.3,0,4623.3,4623.3,4525.86,0,0,0,0,30.16269,-82.64
625575,FL,COLUMBIA COUNTY,0,33287.76,0,0,33287.76,27375.62,0,0,0,0,30.16269,-82.64
262109,FL,COLUMBIA COUNTY,0,21267.18,0,0,21267.18,24840.49,0,0,0,0,30.163641,-82.640976
228457,FL,COLUMBIA COUNTY,0,729556.74,0,0,729556.74,889825.76,0,0,0,0,30.163641,-82.640976
622799,FL,COLUMBIA COUNTY,0,350446.14,0,0,350446.14,438049.26,0,0,0,0,30.163641,-82.640976
233271,FL,COLUMBIA COUNTY,0,2135964.6,0,2135964.6,2135964.6,1728721.59,0,0,0,0,30.163641,-82.640976
932950,FL,COLUMBIA COUNTY,0,4623.3,0,4623.3,4623.3,4782.1,0,0,0,0,30.163641,-82.640976
641952,FL,COLUMBIA COUNTY,0,2469639.6,0,2469639.6,2469639.6,2708463.63,0,0,0,0,30.1515,-82.6126
796260,FL,COLUMBIA COUNTY,0,914073.3,0,914073.3,914073.3,1296439.3,0,0,0,0,30.1515,-82.6126
301822,FL,COLUMBIA COUNTY,0,3042940.5,0,3042940.5,3042940.5,3181868.99,0,0,0,0,30.1515,-82.6126
559927,FL,COLUMBIA COUNTY,0,234997.65,0,0,234997.65,255975.89,0,0,0,0,30.1515,-82.6126
224400,FL,COLUMBIA COUNTY,0,912600,0,912600,912600,1147247.71,0,0,0,0,30.1515,-82.6126
123936,FL,COLUMBIA COUNTY,0,1920744.9,0,1920744.9,1920744.9,2837762.3,0,0,0,0,30.1515,-82.6126
333818,FL,COLUMBIA COUNTY,0,455754.6,0,455754.6,455754.6,696809.59,0,0,0,0,30.1515,-82.6126
254323,FL,COLUMBIA COUNTY,0,1552693.95,0,0,1552693.95,1552594.58,0,0,0,0,30.1515,-82.6126
247444,FL,COLUMBIA COUNTY,0,8910,0,8910,8910,13521.83,0,0,0,0,30.1515,-82.6126
882598,FL,COLUMBIA COUNTY,0,398968.2,0,398968.2,398968.2,424087.24,0,0,0,0,30.1515,-82.6126
386918,FL,COLUMBIA COUNTY,0,4500,0,4500,4500,4238.41,0,0,0,0,30.1515,-82.6126
497337,FL,COLUMBIA COUNTY,0,31071.6,0,31071.6,31071.6,57802.5,0,0,0,0,30.1515,-82.6126
526844,FL,COLUMBIA COUNTY,0,4956125.85,0,0,4956125.85,7279557.65,0,0,0,0,30.1515,-82.6126
623400,FL,COLUMBIA COUNTY,0,40500,0,40500,40500,34160.94,0,0,0,0,30.1515,-82.6126
826170,FL,COLUMBIA COUNTY,0,135868.99,0,0,135868.99,234280.26,0,0,0,0,30.185885,-82.614795
185483,FL,COLUMBIA COUNTY,0,36784.23,0,0,36784.23,58447.64,0,0,0,0,30.185885,-82.614795
920003,FL,COLUMBIA COUNTY,0,1086940.9,0,0,1086940.9,1770235.43,0,0,0,0,30.185885,-82.614795
274246,FL,COLUMBIA COUNTY,0,16767.17,0,0,16767.17,17228.6,0,0,0,0,30.16649,-82.63503
423636,FL,COLUMBIA COUNTY,0,1404900,0,1404900,1404900,1840643.78,0,42147,0,0,30.176,-82.65581
970906,FL,COLUMBIA COUNTY,0,4696520.5,0,0,4696520.5,6342697.9,0,0,450000,0,30.00777,-82.59694
227898,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,86628.09,0,0,0,0,30.17509,-82.66252
